GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter3;a3bis5;a6bis9;a10bis15;a16bis18;a19bis24;a25bis39;a40bis59;a60bis66;a67bis74;a75undaelter
CRS3035RES100mN3254000E4569400;4569450;3254050;8;–;–;3;–;–;–;–;3;–;–;3
CRS3035RES100mN3254100E4569300;4569350;3254150;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254100E4569400;4569450;3254150;19;–;–;–;–;–;–;3;5;–;–;3
CRS3035RES100mN3254100E4569500;4569550;3254150;26;3;–;3;–;3;–;3;9;–;3;–
CRS3035RES100mN3254100E4569600;4569650;3254150;3;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3254200E4569300;4569350;3254250;10;–;–;–;–;–;–;–;4;–;3;3
CRS3035RES100mN3254200E4569400;4569450;3254250;16;–;4;–;–;–;–;3;5;–;–;3
CRS3035RES100mN3254200E4569500;4569550;3254250;11;–;–;–;–;–;–;–;–;–;3;3
CRS3035RES100mN3254200E4569600;4569650;3254250;11;–;–;–;–;–;–;–;3;–;5;5
CRS3035RES100mN3254300E4569300;4569350;3254350;16;–;–;–;–;–;–;–;5;3;4;3
CRS3035RES100mN3254300E4569400;4569450;3254350;12;–;–;–;–;–;–;–;10;4;–;–
CRS3035RES100mN3254300E4569500;4569550;3254350;27;–;–;–;3;4;–;–;13;6;–;3
CRS3035RES100mN3254300E4569600;4569650;3254350;4;–;–;–;–;–;–;–;8;3;–;–
CRS3035RES100mN3254400E4569200;4569250;3254450;6;–;–;–;–;–;–;–;6;–;–;–
CRS3035RES100mN3254500E4568800;4568850;3254550;7;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254600E4568800;4568850;3254650;12;–;–;3;–;–;–;–;8;–;–;–
CRS3035RES100mN3254600E4568900;4568950;3254650;8;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254700E4568800;4568850;3254750;19;–;–;–;–;–;3;3;7;3;3;6
CRS3035RES100mN3254700E4568900;4568950;3254750;18;–;–;–;–;–;3;–;8;–;3;–
CRS3035RES100mN3254700E4569000;4569050;3254750;7;–;–;–;–;–;–;–;3;3;–;3
CRS3035RES100mN3254700E4569100;4569150;3254750;4;–;–;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3254700E4569200;4569250;3254750;14;3;–;–;–;–;–;–;8;–;3;–
CRS3035RES100mN3254700E4569300;4569350;3254750;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254800E4568900;4568950;3254850;8;–;–;–;–;–;–;–;4;3;–;–
CRS3035RES100mN3254800E4569000;4569050;3254850;26;–;3;3;–;–;–;5;7;–;3;3
CRS3035RES100mN3254800E4569100;4569150;3254850;15;–;–;–;–;–;3;–;8;–;–;6
CRS3035RES100mN3254800E4569200;4569250;3254850;43;–;3;–;–;5;3;10;18;4;–;–
CRS3035RES100mN3254900E4568900;4568950;3254950;10;–;–;–;3;–;–;–;3;3;–;5
CRS3035RES100mN3254900E4569000;4569050;3254950;27;–;3;–;–;–;–;9;10;6;–;3
CRS3035RES100mN3254900E4569100;4569150;3254950;25;–;–;–;–;–;–;3;10;9;–;–
CRS3035RES100mN3254900E4569200;4569250;3254950;28;3;3;–;3;–;–;8;10;–;–;5
CRS3035RES100mN3255000E4569000;4569050;3255050;12;3;–;–;–;–;–;–;3;–;3;4
CRS3035RES100mN3255000E4569100;4569150;3255050;8;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3255000E4569200;4569250;3255050;5;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3255000E4569300;4569350;3255050;7;–;–;–;–;–;–;3;–;–;–;3
CRS3035RES100mN3257400E4552300;4552350;3257450;35;–;–;4;4;–;3;–;17;3;–;–
CRS3035RES100mN3257400E4552400;4552450;3257450;72;3;–;3;3;–;–;27;16;5;9;5
CRS3035RES100mN3257400E4552500;4552550;3257450;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257400E4552600;4552650;3257450;42;3;3;–;–;–;–;8;17;3;–;5
CRS3035RES100mN3257400E4552700;4552750;3257450;35;3;–;–;–;3;4;7;10;3;4;4
CRS3035RES100mN3257400E4552800;4552850;3257450;28;–;–;–;–;–;3;11;4;3;–;–
CRS3035RES100mN3257400E4552900;4552950;3257450;36;–;–;4;5;4;–;5;14;–;–;4
CRS3035RES100mN3257400E4553000;4553050;3257450;60;8;3;4;–;–;4;5;20;12;3;8
CRS3035RES100mN3257400E4553100;4553150;3257450;38;–;–;3;–;–;–;8;12;4;4;3
CRS3035RES100mN3257400E4553200;4553250;3257450;84;3;–;4;5;3;6;9;26;14;11;9
CRS3035RES100mN3257400E4553300;4553350;3257450;194;8;4;9;10;5;3;24;73;26;18;19
CRS3035RES100mN3257400E4553400;4553450;3257450;167;12;11;4;12;–;10;34;38;14;18;11
CRS3035RES100mN3257400E4553500;4553550;3257450;74;3;5;5;14;3;5;11;23;6;–;–
CRS3035RES100mN3257400E4553700;4553750;3257450;4;–;–;–;–;–;–;–;3;–;–;–
CRS3035RES100mN3257400E4572200;4572250;3257450;7;–;–;–;–;–;–;–;4;–;3;–
CRS3035RES100mN3257500E4552000;4552050;3257550;4;–;–;–;–;–;–;3;–;–;–;–
CRS3035RES100mN3257500E4552100;4552150;3257550;43;3;4;5;–;3;–;9;9;3;7;4
