GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter18;a18bis29;a30bis49;a50bis64;a65undaelter
CRS3035RES100mN3254000E4569400;4569450;3254050;8;3;–;3;3;3
CRS3035RES100mN3254100E4569300;4569350;3254150;3;–;–;–;–;–
CRS3035RES100mN3254100E4569400;4569450;3254150;19;3;–;–;4;3
CRS3035RES100mN3254100E4569500;4569550;3254150;26;4;4;9;4;3
CRS3035RES100mN3254100E4569600;4569650;3254150;3;–;–;–;3;–
CRS3035RES100mN3254200E4569300;4569350;3254250;10;–;–;–;7;3
CRS3035RES100mN3254200E4569400;4569450;3254250;16;3;–;3;6;4
CRS3035RES100mN3254200E4569500;4569550;3254250;11;–;–;–;–;4
CRS3035RES100mN3254200E4569600;4569650;3254250;11;3;–;3;–;8
CRS3035RES100mN3254300E4569300;4569350;3254350;16;3;–;–;3;8
CRS3035RES100mN3254300E4569400;4569450;3254350;12;–;–;3;7;3
CRS3035RES100mN3254300E4569500;4569550;3254350;27;–;8;3;15;–
CRS3035RES100mN3254300E4569600;4569650;3254350;4;–;–;–;6;–
CRS3035RES100mN3254400E4569200;4569250;3254450;6;–;–;–;6;–
CRS3035RES100mN3254500E4568800;4568850;3254550;7;3;–;–;–;–
CRS3035RES100mN3254600E4568800;4568850;3254650;12;–;–;3;6;4
CRS3035RES100mN3254600E4568900;4568950;3254650;8;–;–;3;–;–
CRS3035RES100mN3254700E4568800;4568850;3254750;19;–;5;3;10;5
CRS3035RES100mN3254700E4568900;4568950;3254750;18;–;5;3;9;3
CRS3035RES100mN3254700E4569000;4569050;3254750;7;–;–;–;4;–
CRS3035RES100mN3254700E4569100;4569150;3254750;4;–;–;–;3;–
CRS3035RES100mN3254700E4569200;4569250;3254750;14;3;–;3;6;3
CRS3035RES100mN3254700E4569300;4569350;3254750;3;–;–;–;–;–
CRS3035RES100mN3254800E4568900;4568950;3254850;8;–;–;3;–;–
CRS3035RES100mN3254800E4569000;4569050;3254850;26;3;–;7;3;9
CRS3035RES100mN3254800E4569100;4569150;3254850;15;–;3;–;5;8
CRS3035RES100mN3254800E4569200;4569250;3254850;43;10;5;17;11;3
CRS3035RES100mN3254900E4568900;4568950;3254950;10;–;–;–;3;5
CRS3035RES100mN3254900E4569000;4569050;3254950;27;5;–;12;10;5
CRS3035RES100mN3254900E4569100;4569150;3254950;25;–;–;5;10;4
CRS3035RES100mN3254900E4569200;4569250;3254950;28;6;–;10;3;8
CRS3035RES100mN3255000E4569000;4569050;3255050;12;3;–;–;3;7
CRS3035RES100mN3255000E4569100;4569150;3255050;8;–;–;3;–;–
CRS3035RES100mN3255000E4569200;4569250;3255050;5;–;–;–;–;3
CRS3035RES100mN3255000E4569300;4569350;3255050;7;–;–;3;–;3
CRS3035RES100mN3257400E4552300;4552350;3257450;35;11;3;8;15;–
CRS3035RES100mN3257400E4552400;4552450;3257450;72;8;10;26;15;19
CRS3035RES100mN3257400E4552500;4552550;3257450;3;–;–;–;–;3
CRS3035RES100mN3257400E4552600;4552650;3257450;42;6;3;13;13;8
CRS3035RES100mN3257400E4552700;4552750;3257450;35;3;7;8;8;10
CRS3035RES100mN3257400E4552800;4552850;3257450;28;5;8;9;4;4
CRS3035RES100mN3257400E4552900;4552950;3257450;36;9;6;9;9;3
CRS3035RES100mN3257400E4553000;4553050;3257450;60;15;4;20;17;9
CRS3035RES100mN3257400E4553100;4553150;3257450;38;10;–;10;12;6
CRS3035RES100mN3257400E4553200;4553250;3257450;84;10;9;14;29;23
CRS3035RES100mN3257400E4553300;4553350;3257450;194;33;15;46;67;46
CRS3035RES100mN3257400E4553400;4553450;3257450;167;41;26;39;32;30
CRS3035RES100mN3257400E4553500;4553550;3257450;74;23;11;15;21;–
CRS3035RES100mN3257400E4553700;4553750;3257450;4;–;–;3;–;–
CRS3035RES100mN3257400E4572200;4572250;3257450;7;–;–;3;3;3
CRS3035RES100mN3257500E4552000;4552050;3257550;4;–;–;3;–;–
CRS3035RES100mN3257500E4552100;4552150;3257550;43;10;–;14;9;9
CRS3035RES100mN3257500E4552200;4552250;3257550;44;5;5;6;15;17
CRS3035RES100mN3257500E4552300;4552350;3257550;48;13;–;15;12;13
CRS3035RES100mN3257500E4552400;4552450;3257550;26;9;3;8;5;6
CRS3035RES100mN3257500E4552500;4552550;3257550;28;11;3;10;4;3
CRS3035RES100mN3257500E4552600;4552650;3257550;33;–;–;3;12;12
CRS3035RES100mN3257500E4552700;4552750;3257550;33;3;3;5;7;14
CRS3035RES100mN3257500E4552800;4552850;3257550;24;4;3;4;7;4
CRS3035RES100mN3257500E4552900;4552950;3257550;50;6;13;11;11;15
CRS3035RES100mN3257500E4553000;4553050;3257550;50;7;7;10;8;18
CRS3035RES100mN3257500E4553100;4553150;3257550;30;4;–;5;4;13
CRS3035RES100mN3257500E4553200;4553250;3257550;20;3;3;4;7;8
CRS3035RES100mN3257500E4553300;4553350;3257550;40;12;3;9;5;3
CRS3035RES100mN3257500E4553400;4553450;3257550;72;23;11;23;9;4
CRS3035RES100mN3257500E4553500;4553550;3257550;76;28;13;17;15;3
CRS3035RES100mN3257500E4569000;4569050;3257550;8;–;3;–;3;6
CRS3035RES100mN3257500E4571800;4571850;3257550;8;3;3;5;–;–
CRS3035RES100mN3257600E4551800;4551850;3257650;16;–;4;4;10;3
CRS3035RES100mN3257600E4551900;4551950;3257650;15;4;–;–;3;3
CRS3035RES100mN3257600E4552000;4552050;3257650;8;–;–;–;3;3
CRS3035RES100mN3257600E4552100;4552150;3257650;22;3;–;3;3;10
CRS3035RES100mN3257600E4552200;4552250;3257650;30;4;4;3;5;9
CRS3035RES100mN3257600E4552300;4552350;3257650;56;7;9;14;10;15
CRS3035RES100mN3257600E4552400;4552450;3257650;20;4;–;6;4;7
CRS3035RES100mN3257600E4552500;4552550;3257650;30;5;–;9;8;4
CRS3035RES100mN3257600E4552600;4552650;3257650;23;4;–;4;–;13
CRS3035RES100mN3257600E4552700;4552750;3257650;43;5;3;12;6;16
CRS3035RES100mN3257600E4552800;4552850;3257650;34;9;5;8;5;4
CRS3035RES100mN3257600E4552900;4552950;3257650;43;9;3;6;11;13
CRS3035RES100mN3257600E4553000;4553050;3257650;50;9;9;5;21;11
CRS3035RES100mN3257600E4553100;4553150;3257650;29;3;3;7;5;12
CRS3035RES100mN3257600E4553200;4553250;3257650;11;3;3;3;3;7
CRS3035RES100mN3257600E4553400;4553450;3257650;218;73;59;68;10;4
CRS3035RES100mN3257600E4569000;4569050;3257650;10;–;5;3;5;–
CRS3035RES100mN3257700E4534100;4534150;3257750;42;7;4;9;12;6
CRS3035RES100mN3257700E4551800;4551850;3257750;43;6;4;13;7;13
CRS3035RES100mN3257700E4551900;4551950;3257750;24;5;3;10;7;4
CRS3035RES100mN3257700E4552000;4552050;3257750;12;–;–;–;–;7
CRS3035RES100mN3257700E4552100;4552150;3257750;36;3;3;5;18;8
CRS3035RES100mN3257700E4552200;4552250;3257750;32;6;5;5;10;7
CRS3035RES100mN3257700E4552300;4552350;3257750;5;–;–;–;–;–
CRS3035RES100mN3257700E4552400;4552450;3257750;6;–;–;–;–;3
CRS3035RES100mN3257700E4552500;4552550;3257750;46;7;3;11;6;20
CRS3035RES100mN3257700E4552600;4552650;3257750;24;–;9;3;13;4
CRS3035RES100mN3257700E4552700;4552750;3257750;15;–;–;3;7;11
CRS3035RES100mN3257700E4552800;4552850;3257750;22;3;3;3;8;9
CRS3035RES100mN3257700E4552900;4552950;3257750;40;5;3;4;12;18
CRS3035RES100mN3257700E4553000;4553050;3257750;35;4;5;7;16;7
CRS3035RES100mN3257700E4553100;4553150;3257750;30;8;–;8;3;7
CRS3035RES100mN3257700E4569000;4569050;3257750;17;3;–;3;5;8
CRS3035RES100mN3257700E4569400;4569450;3257750;3;–;–;–;–;–
CRS3035RES100mN3257700E4572400;4572450;3257750;5;–;–;–;–;–
CRS3035RES100mN3257800E4534000;4534050;3257850;26;8;6;7;4;6
CRS3035RES100mN3257800E4551800;4551850;3257850;51;10;8;12;10;13
CRS3035RES100mN3257800E4551900;4551950;3257850;35;7;3;6;11;5
CRS3035RES100mN3257800E4552000;4552050;3257850;17;3;–;–;–;14
CRS3035RES100mN3257800E4552100;4552150;3257850;49;9;5;8;15;10
CRS3035RES100mN3257800E4552200;4552250;3257850;18;3;5;–;7;8
CRS3035RES100mN3257800E4552300;4552350;3257850;8;3;–;–;–;–
CRS3035RES100mN3257800E4552400;4552450;3257850;31;6;–;6;–;17
CRS3035RES100mN3257800E4552500;4552550;3257850;27;8;–;8;3;12
CRS3035RES100mN3257800E4552600;4552650;3257850;41;10;3;9;15;7
CRS3035RES100mN3257800E4552700;4552750;3257850;38;6;3;5;9;15
CRS3035RES100mN3257800E4552800;4552850;3257850;33;9;–;5;7;6
CRS3035RES100mN3257800E4552900;4552950;3257850;48;10;6;12;10;9
CRS3035RES100mN3257800E4553000;4553050;3257850;33;4;3;6;11;4
CRS3035RES100mN3257800E4553100;4553150;3257850;15;7;–;–;3;3
CRS3035RES100mN3257800E4553200;4553250;3257850;58;–;3;3;10;42
CRS3035RES100mN3257800E4553300;4553350;3257850;42;8;3;3;15;11
CRS3035RES100mN3257800E4553400;4553450;3257850;32;11;4;8;7;–
CRS3035RES100mN3257800E4553500;4553550;3257850;16;4;–;4;–;4
CRS3035RES100mN3257800E4553600;4553650;3257850;36;–;11;17;5;4
CRS3035RES100mN3257800E4569000;4569050;3257850;43;16;4;15;6;–
CRS3035RES100mN3257800E4569300;4569350;3257850;19;–;–;–;4;11
CRS3035RES100mN3257800E4569400;4569450;3257850;42;6;3;9;15;7
CRS3035RES100mN3257800E4572500;4572550;3257850;5;–;–;3;–;–
CRS3035RES100mN3257900E4533900;4533950;3257950;20;4;–;3;4;4
CRS3035RES100mN3257900E4534000;4534050;3257950;9;3;–;–;–;6
CRS3035RES100mN3257900E4551700;4551750;3257950;29;7;–;5;–;12
CRS3035RES100mN3257900E4551800;4551850;3257950;44;10;6;14;9;10
CRS3035RES100mN3257900E4551900;4551950;3257950;23;–;–;4;5;11
CRS3035RES100mN3257900E4552000;4552050;3257950;45;4;8;4;20;13
CRS3035RES100mN3257900E4552100;4552150;3257950;23;3;6;5;3;10
