GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnFlaechejeBew;werterlaeuternde_Zeichen
CRS3035RES100mN3254000E4569400;4569450;3254050;5977;NA
CRS3035RES100mN3254100E4569400;4569450;3254150;7370;NA
CRS3035RES100mN3254100E4569500;4569550;3254150;7182;NA
CRS3035RES100mN3254200E4569300;4569350;3254250;6391;NA
CRS3035RES100mN3254200E4569400;4569450;3254250;5550;NA
CRS3035RES100mN3254200E4569500;4569550;3254250;5576;NA
CRS3035RES100mN3254200E4569600;4569650;3254250;4826;NA
CRS3035RES100mN3254300E4569300;4569350;3254350;5102;NA
CRS3035RES100mN3254300E4569400;4569450;3254350;6950;NA
CRS3035RES100mN3254300E4569500;4569550;3254350;5264;NA
CRS3035RES100mN3254300E4569600;4569650;3254350;7560;NA
CRS3035RES100mN3254400E4569200;4569250;3254450;5946;NA
CRS3035RES100mN3254600E4568800;4568850;3254650;7296;NA
CRS3035RES100mN3254600E4568900;4568950;3254650;8706;NA
CRS3035RES100mN3254700E4568800;4568850;3254750;4247;NA
CRS3035RES100mN3254700E4568900;4568950;3254750;5676;NA
CRS3035RES100mN3254700E4569000;4569050;3254750;6796;NA
CRS3035RES100mN3254700E4569200;4569250;3254750;5817;NA
CRS3035RES100mN3254800E4568900;4568950;3254850;11625;NA
CRS3035RES100mN3254800E4569000;4569050;3254850;6957;NA
CRS3035RES100mN3254800E4569100;4569150;3254850;6094;NA
CRS3035RES100mN3254800E4569200;4569250;3254850;6116;NA
CRS3035RES100mN3254900E4568900;4568950;3254950;6121;NA
CRS3035RES100mN3254900E4569000;4569050;3254950;5959;NA
CRS3035RES100mN3254900E4569100;4569150;3254950;4999;NA
CRS3035RES100mN3254900E4569200;4569250;3254950;3857;NA
CRS3035RES100mN3255000E4569000;4569050;3255050;4766;NA
CRS3035RES100mN3255000E4569200;4569250;3255050;5289;NA
CRS3035RES100mN3255000E4569300;4569350;3255050;4398;NA
CRS3035RES100mN3257400E4552300;4552350;3257450;4592;NA
CRS3035RES100mN3257400E4552400;4552450;3257450;5934;NA
CRS3035RES100mN3257400E4552600;4552650;3257450;6870;NA
CRS3035RES100mN3257400E4552700;4552750;3257450;6360;NA
CRS3035RES100mN3257400E4552800;4552850;3257450;7179;NA
CRS3035RES100mN3257400E4552900;4552950;3257450;6064;NA
CRS3035RES100mN3257400E4553000;4553050;3257450;5010;NA
CRS3035RES100mN3257400E4553100;4553150;3257450;5200;NA
CRS3035RES100mN3257400E4553200;4553250;3257450;4964;NA
CRS3035RES100mN3257400E4553300;4553350;3257450;4503;NA
CRS3035RES100mN3257400E4553400;4553450;3257450;3874;NA
CRS3035RES100mN3257400E4553500;4553550;3257450;4303;NA
CRS3035RES100mN3257400E4572200;4572250;3257450;2210;NA
CRS3035RES100mN3257500E4552100;4552150;3257550;6009;NA
CRS3035RES100mN3257500E4552200;4552250;3257550;6166;NA
CRS3035RES100mN3257500E4552300;4552350;3257550;5965;NA
CRS3035RES100mN3257500E4552400;4552450;3257550;9592;NA
CRS3035RES100mN3257500E4552500;4552550;3257550;5195;NA
CRS3035RES100mN3257500E4552600;4552650;3257550;6957;NA
CRS3035RES100mN3257500E4552700;4552750;3257550;5662;NA
CRS3035RES100mN3257500E4552800;4552850;3257550;8063;NA
CRS3035RES100mN3257500E4552900;4552950;3257550;6456;NA
CRS3035RES100mN3257500E4553000;4553050;3257550;5191;NA
CRS3035RES100mN3257500E4553100;4553150;3257550;8466;NA
CRS3035RES100mN3257500E4553200;4553250;3257550;5529;NA
CRS3035RES100mN3257500E4553300;4553350;3257550;4009;NA
CRS3035RES100mN3257500E4553400;4553450;3257550;3869;NA
CRS3035RES100mN3257500E4553500;4553550;3257550;3621;NA
CRS3035RES100mN3257500E4569000;4569050;3257550;10488;NA
CRS3035RES100mN3257500E4571800;4571850;3257550;4895;NA
CRS3035RES100mN3257600E4551800;4551850;3257650;5558;NA
CRS3035RES100mN3257600E4551900;4551950;3257650;6361;NA
CRS3035RES100mN3257600E4552100;4552150;3257650;6744;NA
CRS3035RES100mN3257600E4552200;4552250;3257650;7172;NA
CRS3035RES100mN3257600E4552300;4552350;3257650;6059;NA
CRS3035RES100mN3257600E4552400;4552450;3257650;8297;NA
CRS3035RES100mN3257600E4552500;4552550;3257650;6409;NA
CRS3035RES100mN3257600E4552600;4552650;3257650;7077;NA
CRS3035RES100mN3257600E4552700;4552750;3257650;5916;NA
CRS3035RES100mN3257600E4552800;4552850;3257650;6141;NA
CRS3035RES100mN3257600E4552900;4552950;3257650;5580;NA
CRS3035RES100mN3257600E4553000;4553050;3257650;6554;NA
CRS3035RES100mN3257600E4553100;4553150;3257650;6343;NA
CRS3035RES100mN3257600E4553200;4553250;3257650;2867;NA
CRS3035RES100mN3257600E4569000;4569050;3257650;7560;NA
CRS3035RES100mN3257700E4534100;4534150;3257750;5384;NA
CRS3035RES100mN3257700E4551800;4551850;3257750;6795;NA
CRS3035RES100mN3257700E4551900;4551950;3257750;6260;NA
CRS3035RES100mN3257700E4552000;4552050;3257750;7234;NA
CRS3035RES100mN3257700E4552100;4552150;3257750;5087;NA
CRS3035RES100mN3257700E4552200;4552250;3257750;5953;NA
CRS3035RES100mN3257700E4552300;4552350;3257750;8667;NA
CRS3035RES100mN3257700E4552400;4552450;3257750;6833;NA
CRS3035RES100mN3257700E4552500;4552550;3257750;6711;NA
CRS3035RES100mN3257700E4552600;4552650;3257750;9405;NA
CRS3035RES100mN3257700E4552700;4552750;3257750;7183;NA
CRS3035RES100mN3257700E4552800;4552850;3257750;6309;NA
CRS3035RES100mN3257700E4552900;4552950;3257750;6085;NA
CRS3035RES100mN3257700E4553000;4553050;3257750;5396;NA
CRS3035RES100mN3257700E4553100;4553150;3257750;5501;NA
CRS3035RES100mN3257700E4569000;4569050;3257750;8647;NA
CRS3035RES100mN3257700E4572400;4572450;3257750;4804;NA
CRS3035RES100mN3257800E4534000;4534050;3257850;6965;NA
CRS3035RES100mN3257800E4551800;4551850;3257850;5780;NA
CRS3035RES100mN3257800E4551900;4551950;3257850;5882;NA
CRS3035RES100mN3257800E4552000;4552050;3257850;9560;NA
CRS3035RES100mN3257800E4552100;4552150;3257850;6679;NA
CRS3035RES100mN3257800E4552200;4552250;3257850;7180;NA
CRS3035RES100mN3257800E4552400;4552450;3257850;4495;NA
CRS3035RES100mN3257800E4552500;4552550;3257850;6697;NA
CRS3035RES100mN3257800E4552600;4552650;3257850;5917;NA
CRS3035RES100mN3257800E4552700;4552750;3257850;5154;NA
CRS3035RES100mN3257800E4552800;4552850;3257850;6649;NA
CRS3035RES100mN3257800E4552900;4552950;3257850;5885;NA
CRS3035RES100mN3257800E4553000;4553050;3257850;6373;NA
CRS3035RES100mN3257800E4553100;4553150;3257850;7617;NA
CRS3035RES100mN3257800E4553200;4553250;3257850;4190;NA
CRS3035RES100mN3257800E4553300;4553350;3257850;5502;NA
CRS3035RES100mN3257800E4553400;4553450;3257850;6279;NA
