GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnMieteQM;AnzahlWohnungen;werterlaeuternde_Zeichen
CRS3035RES100mN3254100E4569500;4569550;3254150;799;3;NA
CRS3035RES100mN3254200E4569400;4569450;3254250;477;3;NA
CRS3035RES100mN3254400E4569200;4569250;3254450;792;3;NA
CRS3035RES100mN3254700E4568800;4568850;3254750;547;3;NA
CRS3035RES100mN3254800E4568900;4568950;3254850;1021;4;NA
CRS3035RES100mN3254900E4569000;4569050;3254950;964;7;NA
CRS3035RES100mN3254900E4569200;4569250;3254950;763;3;NA
CRS3035RES100mN3257400E4552400;4552450;3257450;749;7;NA
CRS3035RES100mN3257400E4552600;4552650;3257450;971;4;NA
CRS3035RES100mN3257400E4552700;4552750;3257450;736;3;NA
CRS3035RES100mN3257400E4552800;4552850;3257450;790;4;NA
CRS3035RES100mN3257400E4552900;4552950;3257450;780;4;NA
CRS3035RES100mN3257400E4553000;4553050;3257450;885;10;NA
CRS3035RES100mN3257400E4553100;4553150;3257450;892;8;NA
CRS3035RES100mN3257400E4553200;4553250;3257450;793;43;NA
CRS3035RES100mN3257400E4553300;4553350;3257450;795;106;NA
CRS3035RES100mN3257400E4553400;4553450;3257450;742;70;NA
CRS3035RES100mN3257400E4553500;4553550;3257450;725;30;NA
CRS3035RES100mN3257500E4552100;4552150;3257550;921;4;NA
CRS3035RES100mN3257500E4552200;4552250;3257550;911;6;NA
CRS3035RES100mN3257500E4552300;4552350;3257550;721;15;NA
CRS3035RES100mN3257500E4552600;4552650;3257550;474;3;NA
CRS3035RES100mN3257500E4552700;4552750;3257550;655;10;NA
CRS3035RES100mN3257500E4552800;4552850;3257550;794;9;NA
CRS3035RES100mN3257500E4552900;4552950;3257550;677;15;NA
CRS3035RES100mN3257500E4553000;4553050;3257550;807;12;NA
CRS3035RES100mN3257500E4553200;4553250;3257550;813;12;NA
CRS3035RES100mN3257500E4553300;4553350;3257550;756;18;NA
CRS3035RES100mN3257500E4553400;4553450;3257550;729;27;NA
CRS3035RES100mN3257500E4553500;4553550;3257550;734;27;NA
CRS3035RES100mN3257500E4569000;4569050;3257550;816;3;NA
CRS3035RES100mN3257500E4571800;4571850;3257550;1009;6;NA
CRS3035RES100mN3257600E4551800;4551850;3257650;705;4;NA
CRS3035RES100mN3257600E4552200;4552250;3257650;717;4;NA
CRS3035RES100mN3257600E4552300;4552350;3257650;812;11;NA
CRS3035RES100mN3257600E4552500;4552550;3257650;714;3;NA
CRS3035RES100mN3257600E4552600;4552650;3257650;614;6;NA
CRS3035RES100mN3257600E4552700;4552750;3257650;837;5;NA
CRS3035RES100mN3257600E4552900;4552950;3257650;664;6;NA
CRS3035RES100mN3257600E4553000;4553050;3257650;737;10;NA
CRS3035RES100mN3257600E4553100;4553150;3257650;807;14;NA
CRS3035RES100mN3257600E4553200;4553250;3257650;958;6;NA
CRS3035RES100mN3257700E4534100;4534150;3257750;459;3;KLAMMERN
CRS3035RES100mN3257700E4551800;4551850;3257750;792;3;NA
CRS3035RES100mN3257700E4551900;4551950;3257750;809;4;NA
CRS3035RES100mN3257700E4552100;4552150;3257750;640;4;NA
CRS3035RES100mN3257700E4552200;4552250;3257750;840;3;NA
CRS3035RES100mN3257700E4552800;4552850;3257750;963;16;NA
CRS3035RES100mN3257700E4552900;4552950;3257750;779;7;NA
CRS3035RES100mN3257700E4553000;4553050;3257750;727;5;NA
