GITTER_ID_100m;x_mp_100m;y_mp_100m;Durchschnittsalter;werterlaeuternde_Zeichen
CRS3035RES100mN3254000E4569400;4569450;3254050;5610;NA
CRS3035RES100mN3254100E4569300;4569350;3254150;5850;NA
CRS3035RES100mN3254100E4569400;4569450;3254150;5029;NA
CRS3035RES100mN3254100E4569500;4569550;3254150;3585;NA
CRS3035RES100mN3254100E4569600;4569650;3254150;6527;NA
CRS3035RES100mN3254200E4569300;4569350;3254250;5690;NA
CRS3035RES100mN3254200E4569400;4569450;3254250;4771;NA
CRS3035RES100mN3254200E4569500;4569550;3254250;5908;NA
CRS3035RES100mN3254200E4569600;4569650;3254250;5867;NA
CRS3035RES100mN3254300E4569300;4569350;3254350;5754;NA
CRS3035RES100mN3254300E4569400;4569450;3254350;5631;NA
CRS3035RES100mN3254300E4569500;4569550;3254350;4867;NA
CRS3035RES100mN3254300E4569600;4569650;3254350;6229;NA
CRS3035RES100mN3254400E4569200;4569250;3254450;5806;NA
CRS3035RES100mN3254500E4568800;4568850;3254550;3173;NA
CRS3035RES100mN3254600E4568800;4568850;3254650;5240;NA
CRS3035RES100mN3254600E4568900;4568950;3254650;2948;NA
CRS3035RES100mN3254700E4568800;4568850;3254750;5419;NA
CRS3035RES100mN3254700E4568900;4568950;3254750;4334;NA
CRS3035RES100mN3254700E4569000;4569050;3254750;6651;NA
CRS3035RES100mN3254700E4569100;4569150;3254750;5133;NA
CRS3035RES100mN3254700E4569200;4569250;3254750;4698;NA
CRS3035RES100mN3254700E4569300;4569350;3254750;6152;NA
CRS3035RES100mN3254800E4568900;4568950;3254850;5330;NA
CRS3035RES100mN3254800E4569000;4569050;3254850;5111;NA
CRS3035RES100mN3254800E4569100;4569150;3254850;6318;NA
CRS3035RES100mN3254800E4569200;4569250;3254850;3759;NA
CRS3035RES100mN3254900E4568900;4568950;3254950;4706;NA
CRS3035RES100mN3254900E4569000;4569050;3254950;4298;NA
CRS3035RES100mN3254900E4569100;4569150;3254950;4862;NA
CRS3035RES100mN3254900E4569200;4569250;3254950;4346;NA
CRS3035RES100mN3255000E4569000;4569050;3255050;5821;NA
CRS3035RES100mN3255000E4569100;4569150;3255050;3980;NA
CRS3035RES100mN3255000E4569200;4569250;3255050;6378;NA
CRS3035RES100mN3255000E4569300;4569350;3255050;4001;NA
CRS3035RES100mN3257400E4552300;4552350;3257450;3404;NA
CRS3035RES100mN3257400E4552400;4552450;3257450;4571;NA
