GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Haushalte;1_Person;2_Personen;3_Personen;4_Personen;5_Personen;6_Personen_und_mehr
CRS3035RES100mN3254000E4569400;4569450;3254050;3;3;–;3;–;–;–
CRS3035RES100mN3254100E4569400;4569450;3254150;8;3;3;3;3;–;–
CRS3035RES100mN3254100E4569500;4569550;3254150;13;4;–;3;3;–;–
CRS3035RES100mN3254200E4569300;4569350;3254250;3;–;3;–;–;–;–
CRS3035RES100mN3254200E4569400;4569450;3254250;7;3;5;–;–;–;–
CRS3035RES100mN3254200E4569500;4569550;3254250;5;–;3;3;–;–;–
CRS3035RES100mN3254200E4569600;4569650;3254250;6;–;4;–;3;–;–
CRS3035RES100mN3254300E4569300;4569350;3254350;6;–;–;–;–;–;–
CRS3035RES100mN3254300E4569400;4569450;3254350;6;–;7;–;–;–;–
CRS3035RES100mN3254300E4569500;4569550;3254350;10;–;5;3;3;–;–
CRS3035RES100mN3254300E4569600;4569650;3254350;3;–;–;–;–;–;–
CRS3035RES100mN3254400E4569200;4569250;3254450;4;–;–;–;–;–;–
CRS3035RES100mN3254600E4568800;4568850;3254650;8;4;–;3;–;–;–
CRS3035RES100mN3254600E4568900;4568950;3254650;3;–;–;3;–;–;–
CRS3035RES100mN3254700E4568800;4568850;3254750;8;–;5;–;–;3;–
CRS3035RES100mN3254700E4568900;4568950;3254750;8;–;3;3;–;–;–
CRS3035RES100mN3254700E4569000;4569050;3254750;5;3;4;–;–;–;–
CRS3035RES100mN3254700E4569200;4569250;3254750;4;–;–;–;–;–;–
CRS3035RES100mN3254800E4568900;4568950;3254850;6;6;3;–;–;–;–
CRS3035RES100mN3254800E4569000;4569050;3254850;10;–;4;–;3;–;–
CRS3035RES100mN3254800E4569100;4569150;3254850;6;3;3;–;–;–;–
CRS3035RES100mN3254800E4569200;4569250;3254850;20;6;7;6;3;3;–
CRS3035RES100mN3254900E4568900;4568950;3254950;4;3;3;–;–;–;–
CRS3035RES100mN3254900E4569000;4569050;3254950;15;3;6;3;–;–;–
CRS3035RES100mN3254900E4569100;4569150;3254950;13;3;3;4;–;–;–
CRS3035RES100mN3254900E4569200;4569250;3254950;12;3;3;3;–;3;–
CRS3035RES100mN3255000E4569000;4569050;3255050;5;–;3;–;3;–;–
CRS3035RES100mN3255000E4569200;4569250;3255050;4;–;–;–;–;–;–
CRS3035RES100mN3255000E4569300;4569350;3255050;3;–;–;–;–;–;–
CRS3035RES100mN3257400E4552300;4552350;3257450;11;–;4;3;–;–;–
CRS3035RES100mN3257400E4552400;4552450;3257450;17;7;4;3;–;–;–
CRS3035RES100mN3257400E4552600;4552650;3257450;16;3;10;3;–;3;–
CRS3035RES100mN3257400E4552700;4552750;3257450;18;8;3;–;3;–;–
CRS3035RES100mN3257400E4552800;4552850;3257450;13;9;3;3;–;–;–
