GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Familie;Ehep_ohneKind;Ehep_mind_1Kind_unter18;Ehep_Kinder_ab18;EingetrLP_ohneKind;EingetrLP_mind_1Kind_unter18;EingetrLP_Kinder_ab18;NichtehelLG_ohneKind;NichtehelLG_mind_1Kind_unter18;NichtehelLG_Kinder_ab18;Vater_mind_1Kind_unter18;Vater_Kinder_ab18;Mutter_mind_1Kind_unter18;Mutter_Kinder_ab18
CRS3035RES100mN3254000E4569400;4569450;3254050;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254100E4569400;4569450;3254150;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254100E4569500;4569550;3254150;3;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254200E4569300;4569350;3254250;8;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254200E4569400;4569450;3254250;3;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254200E4569500;4569550;3254250;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254200E4569600;4569650;3254250;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254300E4569300;4569350;3254350;9;4;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254300E4569400;4569450;3254350;6;5;–;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3254300E4569500;4569550;3254350;10;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254300E4569600;4569650;3254350;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254400E4569200;4569250;3254450;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254600E4568800;4568850;3254650;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254600E4568900;4568950;3254650;3;–;–;–;–;–;–;–;3;–;–;–;–;–
CRS3035RES100mN3254700E4568800;4568850;3254750;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254700E4568900;4568950;3254750;6;–;–;5;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254700E4569000;4569050;3254750;4;–;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3254700E4569200;4569250;3254750;6;3;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254800E4568900;4568950;3254850;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254800E4569000;4569050;3254850;11;6;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254800E4569100;4569150;3254850;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254800E4569200;4569250;3254850;14;–;3;3;–;–;–;–;–;3;–;–;3;–
CRS3035RES100mN3254900E4568900;4568950;3254950;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254900E4569000;4569050;3254950;8;–;–;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3254900E4569100;4569150;3254950;8;3;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3254900E4569200;4569250;3254950;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3255000E4569000;4569050;3255050;5;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3255000E4569200;4569250;3255050;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3255000E4569300;4569350;3255050;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257400E4552300;4552350;3257450;11;3;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257400E4552400;4552450;3257450;8;–;3;–;3;–;–;–;–;–;–;3;–;–
CRS3035RES100mN3257400E4552600;4552650;3257450;10;4;–;–;–;–;–;3;3;–;–;–;–;–
CRS3035RES100mN3257400E4552700;4552750;3257450;8;3;5;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3257400E4552800;4552850;3257450;8;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257400E4552900;4552950;3257450;10;3;5;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257400E4553000;4553050;3257450;19;7;7;3;–;–;–;–;4;–;–;–;–;–
CRS3035RES100mN3257400E4553100;4553150;3257450;11;7;3;–;–;–;–;–;4;–;–;–;–;–
CRS3035RES100mN3257400E4553200;4553250;3257450;25;14;3;3;–;–;–;–;3;–;–;–;3;5
CRS3035RES100mN3257400E4553300;4553350;3257450;59;28;10;–;–;–;–;5;6;–;–;–;11;6
CRS3035RES100mN3257400E4553400;4553450;3257450;52;15;6;5;–;–;–;8;8;3;–;3;8;5
CRS3035RES100mN3257400E4553500;4553550;3257450;22;4;–;–;–;–;–;3;–;3;3;–;7;–
CRS3035RES100mN3257400E4572200;4572250;3257450;3;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552100;4552150;3257550;15;7;4;–;–;–;–;–;–;–;–;–;–;3
CRS3035RES100mN3257500E4552200;4552250;3257550;11;8;3;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552300;4552350;3257550;14;4;–;–;–;–;–;3;–;–;–;–;3;–
CRS3035RES100mN3257500E4552400;4552450;3257550;7;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552500;4552550;3257550;6;–;6;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552600;4552650;3257550;11;4;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552700;4552750;3257550;9;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552800;4552850;3257550;6;–;3;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4552900;4552950;3257550;12;4;3;–;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257500E4553000;4553050;3257550;17;8;7;–;–;–;–;3;–;–;–;–;–;–
CRS3035RES100mN3257500E4553100;4553150;3257550;8;4;–;3;–;–;–;–;–;–;–;–;3;–
CRS3035RES100mN3257500E4553200;4553250;3257550;4;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4553300;4553350;3257550;6;–;4;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257500E4553400;4553450;3257550;20;–;4;–;–;–;–;–;–;–;–;–;8;–
CRS3035RES100mN3257500E4553500;4553550;3257550;21;–;–;–;–;–;–;–;6;–;3;–;8;3
CRS3035RES100mN3257500E4569000;4569050;3257550;4;3;–;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4551800;4551850;3257650;4;3;4;3;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4551900;4551950;3257650;6;–;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552000;4552050;3257650;3;3;–;–;–;–;–;–;–;–;–;–;–;–
CRS3035RES100mN3257600E4552100;4552150;3257650;8;6;–;–;–;–;–;–;–;–;–;–;–;–
